realtion;nrprzystanka;linia;kierunek;dzien;idprzystanka;We1;Wy1;Nap1;We2;Wy2;Nap2;We3;Wy3;Nap3;We4;Wy4;Nap4;We5;Wy5;Nap5;We6;Wy6;Nap6;We7;Wy7;Nap7;We8;Wy8;Nap8
172969;1;3;41601t;N;70201t;2;0;2;3;0;3;3;0;3;4;0;4;4;0;4;2;0;2;1;0;1;3;0;3
172969;2;3;41601t;N;65702t;5;0;7;7;0;9;8;0;11;10;0;14;7;0;11;7;1;8;1;0;2;0;0;3
172969;3;3;41601t;N;65602t;4;1;10;4;0;13;6;1;16;6;1;20;4;0;15;2;1;10;2;0;4;0;0;3
172969;4;3;41601t;N;65502t;3;1;12;4;1;17;9;1;23;8;1;27;5;1;18;6;1;14;2;0;6;3;0;6
172969;5;3;41601t;N;64902t;5;3;14;5;1;20;6;4;25;8;3;31;10;3;25;10;2;22;3;1;8;4;0;9
172969;6;3;41601t;N;64802t;1;0;15;2;0;22;2;1;26;4;1;34;1;1;26;2;1;23;2;0;9;0;0;9
172969;7;3;41601t;N;64702t;3;0;18;8;1;30;10;1;35;8;3;39;6;1;31;6;2;27;3;1;11;3;0;12
172969;8;3;41601t;N;64602t;3;1;20;4;3;30;7;2;40;6;3;43;7;2;35;3;3;27;2;1;12;1;1;11
172969;9;3;41601t;N;64502t;2;1;21;3;0;33;5;2;43;2;0;45;2;1;37;1;1;27;0;0;12;1;1;11
172969;10;3;41601t;N;64402t;4;1;24;6;0;39;7;1;48;7;2;49;6;2;41;5;2;30;3;1;14;0;2;10
172969;11;3;41601t;N;64302t;0;0;24;2;0;41;3;3;48;3;1;51;3;1;43;1;2;29;1;0;15;1;1;10
172969;12;3;41601t;N;64202t;1;2;24;5;5;40;5;4;49;7;5;53;7;5;44;5;5;29;3;3;15;1;1;10
172969;13;3;41601t;N;64002t;5;5;23;6;2;45;8;5;53;11;6;58;16;3;57;10;3;36;5;1;18;1;1;11
172969;14;3;41601t;N;81602t;1;3;22;2;4;42;4;4;53;4;5;57;6;5;58;7;4;39;3;3;19;1;1;11
172969;15;3;41601t;N;81602t;3;1;24;5;6;41;10;3;60;6;3;61;6;6;58;6;4;40;5;1;23;2;1;12
172969;16;3;41601t;N;80701t;2;4;22;4;7;38;5;6;59;8;7;62;7;5;59;5;5;40;5;3;25;2;1;12
172969;17;3;41601t;N;80602t;2;4;20;5;10;33;4;20;43;12;16;57;8;14;53;8;12;36;6;3;28;8;1;20
