idprzystanka;nazwa
10001t;AWF 
10002t;AWF 
10101t;Stella-Sawickiego 
10102t;Stella-Sawickiego 
10201t;Czyzyny 
10202t;Czyzyny 
10301t;Rondo Czyzynskie
10302t;Rondo Czyzynskie 
10303t;Rondo Czyzynskie 
10304t;Rondo Czyzynskie
10502t;Plac Centralny im.R.Reagana
10503t;Plac Centralny im.R.Reagana
10505t;Plac Centralny im.R.Reagana
10601t;Struga
10602;Struga
10602t;Struga
10701t;Kombinat
10702t;Kombinat
10703t;Kombinat
10801t;Mrozowa n/z
10802t;Mrozowa n/z
10901t;Blokowa
10902t;Blokowa
11001t;Agencja Krakow Wschod n/z
11002t;Agencja Krakow Wschod n/z
11101t;Walcownia
11201t;Krakow Arena Al. Pokoju n/z
11202t;Krakow Arena Al. Pokoju n/z
11501t;Nowohucka
11502t;Nowohucka
11601t;Centralna
11602t;Centralna
11701t;Bienczycka 
11702t;Bienczycka 
11801t;Rondo Kocmyrzowskie im.Ks Gorzelanego
11802t;Rondo Kocmyrzowskie im. Ks. Gorzelanego 
11803t;Rondo Kocmyrzowskie im. Ks. Gorzelanego 
11804t;Rondo Kocmyrzowskie  im.Ks.Gorzelanego
11901t;Teatr Ludowy 
11902t;Teatr Ludowy 
11903t;Teatr Ludowy
12001t;Kocmyrzowska 
12002t;Kocmyrzowska 
12101t;Wankowicza 
12102t;Wankowicza 
12201t;Wiadukty 
12202t;Wiadukty 
12301t;Darwina 
12302t;Darwina 
12401t;Jarzebiny 
12402t;Jarzebiny 
12501t;Wzgorza Krzeslawickie 
13501t;DH Wanda
13502t;DH Wanda
13601t;Os.Zgody
13602t;Os.Zgody
13901t;Mistrzejowice
14001t;Misnienska
14002t;Misnienska
14101t;Os.Zlotego Wieku
14102t;Os.Zlotego Wieku
14301t;Rondo Piastowskie
14302t;Rondo Piastowskie
14401t;Kleeberga
14402t;Kleeberga
14701t;Piasta Kolodzieja
14702t;Piasta Kolodzieja
14801t;Os.Piastow
16101t;Dunikowskiego
16102t;Dunikowskiego
16201t;Rondo Hipokratesa
16202t;Rondo Hipokratesa
16901t;Glowackiego
16902t;Glowackiego
19301t;Zajezdnia Nowa Huta
19302t;Zajezdnia Nowa Huta
19401t;Elektromontaz
19402t;Elektromontaz
21201t;Kopiec Wandy n/z
21202t;Kopiec Wandy
21203t;Kopiec Wandy
21301t;Brama nr 4 n/z
21302t;Brama nr 4 n/z
21401t;Jezynowa n/z
21402t;Jezynowa n/z
21501t;Brama nr 5 n/z
21502t;Brama nr 5 n/z
21601t;Meksyk n/z
21602t;Meksyk n/z
21701t;Koksochemia n/z
21702t;Koksochemia n/z
21801t;Pleszow
29101t;Kampus UJ
29102t;Kampus UJ
29201t;Chmieleniec
29202t;Chmieleniec
29301t;Czerwone Maki
29401t;Klimeckiego
29402t;Klimeckiego
30001t;Komorowskiego
30002t;Komorowskiego
30101t;Salwator
30102t;Salwator
30103t;Salwator
34501t;Oleandry
34502t;Oleandry
34601t;Reymana Nz
34602t;Reymana Nz
34701t;Cichy Kacik
35401t;Urzednicza
35402t;Urzednicza
35501t;Biprostal
35502t;Biprostal
35601t;Uniwersytet Pedagogiczny
35602t;Uniwersytet Pedagogiczny
35701t;Bronowice
35702t;Bronowice
35703t;Bronowice
35801t;Wesele
35802t;Wesele
35901t;Balicka Wiadukt
35902t;Balicka Wiadukt
36001t;Bronowice Male
38101t;Dworzec Towarowy
38102t;Dworzec Towarowy 
38103t;Dworzec Towarowy
38201t;Pradnicka
38202t;Pradnicka
38301t;Bratyslawska
38302t;Bratyslawska
41601t;Krowodrza Gorka
45201t;Krakow Plaza
45202t;Krakow Plaza
45301t;Park Jordana Nz
45302t;Park Jordana Nz
50101t;Most Grunwaldzki
50102t;Most Grunwaldzki
52201t;Szwedzka
52202t;Szwedzka
52301t;Kapelanka
52302t;Kapelanka
52401t;Slomiana
52402t;Slomiana
52501t;Kobierzynska
52502t;Kobierzynska
52601t;Grota-Roweckiego
52602t;Grota-Roweckiego
52701t;Norymberska
52702t;Norymberska
52801t;Lipinskiego
52802t;Lipinskiego
55101t;Borsucza
55102t;Borsucza
55201t;Brozka n/z
55202t;Brozka n/z
55301t;lagiewniki
55302t;lagiewniki
55304t;lagiewniki
55305t;lagiewniki
55601t;Korona
55602t;Korona
55603t;Korona
55701t;Smolki
55702t;Smolki
55801t;Rondo Matecznego
55802t;Rondo Matecznego
55901t;Rzemieslnicza
55902t;Rzemieslnicza
56001t;Sanktuarium Bozego Milosierdzia
56002t;Sanktuarium Bozego Milosierdzia
56101t;Solvay
56102t;Solvay
56201t;Borek Falecki
58301t;Witosa
58302t;Witosa
58401t;Kurdwanow
61901t;Zablocie
61902t;Zablocie
62701t;Nowosadecka
62702t;Nowosadecka
63401t;Piaski Nowe
63402t;Piaski Nowe
63501t;Dauna
63502t;Dauna
64001t;Plac Bohaterow Getta
64002t;Plac Bohaterow Getta
64101t;Limanowskiego
64102t;Limanowskiego
64201t;Powstancow Wielkopolskich
64202t;Powstancow Wielkopolskich
64301t;Cmentarz Podgorski
64302t;Cmentarz Podgorski
64401t;Dworcowa
64402t;Dworcowa
64501t;Kabel
64502t;Kabel
64601t;Biezanowska
64602t;Biezanowska
64603t;Biezanowska
64604t;Biezanowska
64701t;Wlotowa
64702t;Wlotowa
64801t;Prokocim
64802t;Prokocim
64803t;Prokocim
64901t;Prokocim Szpital
64902t;Prokocim Szpital
65501t;Teligi
65502t;Teligi
65601t;Nowy Prokocim
65602t;Nowy Prokocim
65701t;cwiklinskiej
65702t;cwiklinskiej
67001t;Kuklinskiego
67002t;Kuklinskiego
67101t;Gromadzka
67102t;Gromadzka
67401t;Lipska
67402t;Lipska
67801t;Rzebika
67802t;Rzebika
70201t;Nowy Biezanow
70302t;Ruczaj
70601t;Ruczaj
70602t;Ruczaj
71101t;Maly Plaszow
74301t;Borek Falecki I
74302t;Borek Falecki I
76001t;Dworzec Glowny Zachod
76002t;Dworzec Glowny Zachod
79801t;Muzeum Lotnictwa 
79802t;Muzeum Lotnictwa 
80101t;Dworzec Glowny
80102t;Dworzec Glowny
80103t;Dworzec Glowny
80201t;Rondo Mogilskie
80202t;Rondo Mogilskie 
80203t;Rondo Mogilskie
80204t;Rondo Mogilskie
80205t;Rondo Mogilskie 
80301t;Cystersow 
80302t;Cystersow 
80303t;Basztowa LOT
80401t;Bialucha 
80402t;Bialucha 
80501t;Wieczysta 
80502t;Wieczysta 
80601t;Poczta Glowna
80602t;Poczta Glowna
80603t;Poczta Glowna
80701t;Starowislna
80702t;Starowislna
80703t;Starowislna
80704t;Starowislna
80801t;Hala Targowa
80802t;Hala Targowa
80901t;Rondo Grzegorzeckie
80902t;Rondo Grzegorzeckie
80903t;Rondo Grzegorzeckie
80904t;Rondo Grzegorzeckie
81001t;Kordylewskiego
81002t;Kordylewskiego
81101t;Francesco Nullo
81102t;Francesco Nullo
81201t;Fabryczna
81202t;Fabryczna
81301t;Ofiar Dabia
81302t;Ofiar Dabia
81401t;Dabie
81402t;Dabie
81501t;Miodowa
81502t;Miodowa
81601t;sw.Wawrzynca
81602t;sw.Wawrzynca
81701t;sw. Gertrudy
81702t;sw. Gertrudy
81801t;Wawel
81802t;Wawel
81901t;Stradom
81902t;Stradom
81903t;Stradom
81904t;Stradom
82001t;Plac Wolnica
82002t;Plac Wolnica
82101t;Plac Wszystkich swietych
82102t;Plac Wszystkich swietych
82201t;Filharmonia
82202t;Filharmonia
82203t;Filharmonia
82301t;Jubilat
82302t;Jubilat
82401t;Uniwersytet Jagiellonski
82402t;Uniwersytet Jagiellonski
82501t;Cracovia
82502t;Cracovia
82701t;Teatr Bagatela
82702t;Teatr Bagatela
82703t;Teatr Bagatela
82801t;Batorego
82802t;Batorego
82901t;Plac Inwalidow
82902t;Plac Inwalidow
83103t;Dworzec Towarowy
83301t;Basztowa LOT
83302t;Basztowa LOT
83303t;Basztowa LOT
83401t;Pedzichow
83402t;Pedzichow
83501t;Nowy Kleparz
83502t;Nowy Kleparz
83901t;Politechnika
83902t;Politechnika
83903t;Politechnika 
83904t;Politechnika 
85101t;Lubicz
85102t;Lubicz
85103t;Lubicz
85201t;Uniwersytet Ekonomiczny
85202t;Uniwersytet Ekonomiczny
85301t;Rakowicka Nz
85302t;Rakowicka Nz
85401t;Cmentarz Rakowicki
85402t;Cmentarz Rakowicki
87201t;Orzeszkowej
87202t;Orzeszkowej
88501t;M1 Al. Pokoju
88502t;M1 Al. Pokoju
88901t;Fort Mogila
88902t;Fort Mogila
90101t;Dworzec Glowny Tunel 
90102t;Dworzec Glowny Tunel 
